"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_ID","stimulus","phase","set_duration","target_interval","reproduced_interval","reproduction_error"
"null","null","html-keyboard-response","1473","1158244","0.0-1473.0","","","isi","","","",""
"null","null","html-keyboard-response","1474","1158746","0.0-1474.0","","<div class=""circle set""></div>","set","500","","",""
"253"," ","html-keyboard-response","1475","1159000","0.0-1475.0","","","go","","200","253","53"
"null","null","html-keyboard-response","1476","1159501","0.0-1476.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1477","1160504","0.0-1477.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 245 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1478","1161007","0.0-1478.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1479","1161610","0.0-1479.0","","","isi","","","",""
"null","null","html-keyboard-response","1480","1162112","0.0-1480.0","","<div class=""circle set""></div>","set","500","","",""
"524"," ","html-keyboard-response","1481","1162637","0.0-1481.0","","","go","","600","524","-76"
"null","null","html-keyboard-response","1482","1163139","0.0-1482.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1483","1164141","0.0-1483.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 246 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1484","1164643","0.0-1484.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1485","1165345","0.0-1485.0","","","isi","","","",""
"null","null","html-keyboard-response","1486","1165848","0.0-1486.0","","<div class=""circle set""></div>","set","500","","",""
"633"," ","html-keyboard-response","1487","1166482","0.0-1487.0","","","go","","700","633","-67"
"null","null","html-keyboard-response","1488","1166983","0.0-1488.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1489","1167987","0.0-1489.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 247 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1490","1168489","0.0-1490.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1491","1169191","0.0-1491.0","","","isi","","","",""
"null","null","html-keyboard-response","1492","1169694","0.0-1492.0","","<div class=""circle set""></div>","set","500","","",""
"873"," ","html-keyboard-response","1493","1170567","0.0-1493.0","","","go","","700","873","173"
"null","null","html-keyboard-response","1494","1171069","0.0-1494.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1495","1172072","0.0-1495.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 248 of 300</p>","iti","","","",""
