"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_ID","stimulus","phase","set_duration","target_interval","reproduced_interval","reproduction_error"
"4060","{""subject_id"":""adi""}","survey-text","0","4063","0.0-0.0","","","","","","",""
"3240"," ","html-keyboard-response","1","7305","0.0-1.0","","
      <p>Ready-Set-Go Task:</p>
      <ul style=""text-align:left; max-width:600px; margin:auto;"">
        <li><strong>Blue circle (""Ready"")</strong> appears</li>
        <li>Then, after a delay, a <strong>green circle (""Set"")</strong> appears</li>
        <li>After ""Set"" disappears, screen goes blank</li>
        <li>You must <strong>press SPACE</strong> when you think the same delay has passed</li>
        <li>After you press, a red circle will appear</li>
        <li>Then you'll see how close your timing was (only for the first 5 trials).</li>
      </ul>
      <p>Press any key to begin.</p>
    ","","","","",""
"null","null","html-keyboard-response","2","7807","0.0-2.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","3","8990","0.0-3.0","","","isi","","","",""
"null","null","html-keyboard-response","4","9494","0.0-4.0","","<div class=""circle set""></div>","set_on_1","","","",""
"null","null","html-keyboard-response","5","9997","0.0-5.0","","","set_gap","500","","",""
"null","null","html-keyboard-response","6","10500","0.0-6.0","","<div class=""circle set""></div>","set_on_2","","","",""
"870"," ","html-keyboard-response","7","11371","0.0-7.0","","","go","500","1180","870","-310"
"null","null","html-keyboard-response","8","11873","0.0-8.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","9","12375","0.0-9.0","","<div class=""circle""></div>","feedback_circle","","","",""
"3885"," ","html-keyboard-response","10","16262","0.0-10.0","","
      <p><strong>Set duration:</strong> 500 ms</p>
      <p><strong>Interval you saw:</strong> 1180 ms</p>
      <p><strong>Interval you reported:</strong> 870 ms</p>
      <p><strong>Error:</strong> -310 ms</p>
      <p>Press any key to continue.</p>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","11","17265","0.0-11.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","12","17768","0.0-12.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","13","18621","0.0-13.0","","","isi","","","",""
"null","null","html-keyboard-response","14","19124","0.0-14.0","","<div class=""circle set""></div>","set_on_1","","","",""
"null","null","html-keyboard-response","15","20627","0.0-15.0","","","set_gap","1500","","",""
"null","null","html-keyboard-response","16","21130","0.0-16.0","","<div class=""circle set""></div>","set_on_2","","","",""
"987"," ","html-keyboard-response","17","22119","0.0-17.0","","","go","1500","850","987","137"
"null","null","html-keyboard-response","18","22621","0.0-18.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","19","23125","0.0-19.0","","<div class=""circle""></div>","feedback_circle","","","",""
"2644"," ","html-keyboard-response","20","25770","0.0-20.0","","
      <p><strong>Set duration:</strong> 1500 ms</p>
      <p><strong>Interval you saw:</strong> 850 ms</p>
      <p><strong>Interval you reported:</strong> 987 ms</p>
      <p><strong>Error:</strong> +137 ms</p>
      <p>Press any key to continue.</p>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","21","26773","0.0-21.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","22","27276","0.0-22.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","23","27809","0.0-23.0","","","isi","","","",""
"null","null","html-keyboard-response","24","28312","0.0-24.0","","<div class=""circle set""></div>","set_on_1","","","",""
"null","null","html-keyboard-response","25","29314","0.0-25.0","","","set_gap","1000","","",""
"null","null","html-keyboard-response","26","29818","0.0-26.0","","<div class=""circle set""></div>","set_on_2","","","",""
"615"," ","html-keyboard-response","27","30433","0.0-27.0","","","go","1000","530","615","85"
"null","null","html-keyboard-response","28","30935","0.0-28.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","29","31437","0.0-29.0","","<div class=""circle""></div>","feedback_circle","","","",""
"33436"," ","html-keyboard-response","30","64874","0.0-30.0","","
      <p><strong>Set duration:</strong> 1000 ms</p>
      <p><strong>Interval you saw:</strong> 530 ms</p>
      <p><strong>Interval you reported:</strong> 615 ms</p>
      <p><strong>Error:</strong> +85 ms</p>
      <p>Press any key to continue.</p>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","31","65877","0.0-31.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","32","66379","0.0-32.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","33","66582","0.0-33.0","","","isi","","","",""
"null","null","html-keyboard-response","34","67084","0.0-34.0","","<div class=""circle set""></div>","set_on_1","","","",""
"null","null","html-keyboard-response","35","67587","0.0-35.0","","","set_gap","500","","",""
"null","null","html-keyboard-response","36","68090","0.0-36.0","","<div class=""circle set""></div>","set_on_2","","","",""
"65"," ","html-keyboard-response","37","68156","0.0-37.0","","","go","500","200","65","-135"
"null","null","html-keyboard-response","38","68658","0.0-38.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","39","69161","0.0-39.0","","<div class=""circle""></div>","feedback_circle","","","",""
"6142"," ","html-keyboard-response","40","75304","0.0-40.0","","
      <p><strong>Set duration:</strong> 500 ms</p>
      <p><strong>Interval you saw:</strong> 200 ms</p>
      <p><strong>Interval you reported:</strong> 65 ms</p>
      <p><strong>Error:</strong> -135 ms</p>
      <p>Press any key to continue.</p>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","41","76306","0.0-41.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","42","76809","0.0-42.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","43","77011","0.0-43.0","","","isi","","","",""
"null","null","html-keyboard-response","44","77513","0.0-44.0","","<div class=""circle set""></div>","set_on_1","","","",""
"null","null","html-keyboard-response","45","78516","0.0-45.0","","","set_gap","1000","","",""
"null","null","html-keyboard-response","46","79018","0.0-46.0","","<div class=""circle set""></div>","set_on_2","","","",""
"226"," ","html-keyboard-response","47","79245","0.0-47.0","","","go","1000","200","226","26"
"null","null","html-keyboard-response","48","79747","0.0-48.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","49","80249","0.0-49.0","","<div class=""circle""></div>","feedback_circle","","","",""
"1951"," ","html-keyboard-response","50","82202","0.0-50.0","","
      <p><strong>Set duration:</strong> 1000 ms</p>
      <p><strong>Interval you saw:</strong> 200 ms</p>
      <p><strong>Interval you reported:</strong> 226 ms</p>
      <p><strong>Error:</strong> +26 ms</p>
      <p>Press any key to continue.</p>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","51","83205","0.0-51.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","52","83707","0.0-52.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","53","85210","0.0-53.0","","","isi","","","",""
"null","null","html-keyboard-response","54","85713","0.0-54.0","","<div class=""circle set""></div>","set_on_1","","","",""
"null","null","html-keyboard-response","55","87216","0.0-55.0","","","set_gap","1500","","",""
"null","null","html-keyboard-response","56","87719","0.0-56.0","","<div class=""circle set""></div>","set_on_2","","","",""
"1447"," ","html-keyboard-response","57","89167","0.0-57.0","","","go","1500","1500","1447","-53"
"null","null","html-keyboard-response","58","89668","0.0-58.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","59","90671","0.0-59.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","60","91173","0.0-60.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","61","91376","0.0-61.0","","","isi","","","",""
"null","null","html-keyboard-response","62","91878","0.0-62.0","","<div class=""circle set""></div>","set_on_1","","","",""
"null","null","html-keyboard-response","63","93380","0.0-63.0","","","set_gap","1500","","",""
