"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_ID","stimulus","phase","set_duration","target_interval","reproduced_interval","reproduction_error"
"949"," ","html-keyboard-response","988","748440","0.0-988.0","","","go","","1000","949","-51"
"null","null","html-keyboard-response","989","748941","0.0-989.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","990","749944","0.0-990.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 164 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","991","750447","0.0-991.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","992","752049","0.0-992.0","","","isi","","","",""
"null","null","html-keyboard-response","993","752552","0.0-993.0","","<div class=""circle set""></div>","set","500","","",""
"1653"," ","html-keyboard-response","994","754205","0.0-994.0","","","go","","1600","1653","53"
"null","null","html-keyboard-response","995","754706","0.0-995.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","996","755710","0.0-996.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 165 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","997","756211","0.0-997.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","998","757413","0.0-998.0","","","isi","","","",""
"null","null","html-keyboard-response","999","757915","0.0-999.0","","<div class=""circle set""></div>","set","500","","",""
"1389"," ","html-keyboard-response","1000","759305","0.0-1000.0","","","go","","1200","1389","189"
"null","null","html-keyboard-response","1001","759806","0.0-1001.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1002","760810","0.0-1002.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 166 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1003","761312","0.0-1003.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1004","763015","0.0-1004.0","","","isi","","","",""
